Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,Yes,Travel_Rarely,1143,Human Resources,27,4,Life Sciences,1,55,3,Male,162,4,3,Manager,1,Divorced,19402,19402,2,Y,No,27,3,1,80,2,35,5,1,30,7,11,13
30,No,Non-Travel,1062,Software,40,2,Medical,1,56,4,Male,119,2,5,Human Resources,1,Married,14128,141280,7,Y,Yes,45,3,3,80,2,31,5,1,28,9,20,7
18,Yes,Travel_Rarely,414,Human Resources,25,4,Technical Degree,1,57,4,Female,181,4,3,Sales Representative,1,Single,37768,604288,8,Y,No,29,1,1,80,2,9,1,1,5,1,5,4
51,Yes,Non-Travel,381,Research & Development,9,1,Other,1,58,3,Female,152,2,5,Sales Representative,3,Married,22231,489082,3,Y,No,47,3,1,80,2,9,5,4,4,2,3,1
57,Yes,Travel_Rarely,238,Human Resources,6,5,Technical Degree,1,59,3,Female,168,1,2,Human Resources,2,Divorced,42815,470965,8,Y,No,45,2,1,80,3,23,5,3,13,1,4,7
59,Yes,Travel_Frequently,1448,Research & Development,16,4,Technical Degree,1,60,4,Female,168,4,5,Manufacturing Director,3,Married,36488,729760,3,Y,No,9,3,1,80,1,16,5,2,12,10,4,5
20,No,Travel_Frequently,462,Hardware,3,4,Life Sciences,1,61,2,Female,55,1,3,Research Director,1,Married,8520,136320,0,Y,Yes,45,3,2,80,1,18,3,1,5,1,1,3
42,Yes,Non-Travel,109,Sales,18,1,Medical,1,62,2,Female,125,4,4,Research Director,3,Married,16307,81535,4,Y,Yes,16,2,4,80,2,23,6,1,7,5,1,3
23,Yes,Travel_Rarely,350,Hardware,15,5,Medical,1,63,3,Male,162,3,4,Healthcare Representative,2,Single,41919,125757,3,Y,No,41,1,4,80,3,37,3,2,8,1,2,1
53,Yes,Travel_Frequently,1191,Sales,36,4,Marketing,1,64,3,Female,90,2,2,Manufacturing Director,4,Single,13590,380520,7,Y,No,8,3,2,80,3,32,5,3,31,12,11,12
24,Yes,Travel_Rarely,562,Human Resources,48,2,Marketing,1,65,3,Female,121,2,3,Developer,3,Single,18047,342893,3,Y,No,17,2,3,80,2,1,1,2,1,1,1,1
28,Yes,Travel_Rarely,117,Human Resources,1,5,Marketing,1,66,3,Female,39,1,1,Human Resources,3,Divorced,7964,191136,0,Y,No,34,4,1,80,4,31,4,1,6,5,1,6
53,Yes,Travel_Rarely,1486,Research & Development,25,3,Medical,1,67,4,Male,62,4,2,Developer,3,Married,2564,23076,0,Y,Yes,8,4,1,80,1,20,1,3,3,2,1,1
24,Yes,Travel_Rarely,1008,Human Resources,21,4,Human Resources,1,68,3,Male,200,2,3,Manager,4,Married,21114,274482,1,Y,Yes,10,4,4,80,2,11,5,4,4,4,1,4
46,No,Travel_Frequently,858,Sales,25,2,Other,1,69,1,Female,101,3,3,Research Scientist,3,Divorced,23025,92100,1,Y,Yes,25,3,2,80,2,8,3,4,4,4,2,1
49,No,Travel_Frequently,1162,Support,44,4,Marketing,1,70,4,Female,99,1,2,Healthcare Representative,2,Divorced,39899,518687,0,Y,Yes,46,3,1,80,3,2,4,1,1,1,1,1
27,Yes,Travel_Frequently,945,Software,37,2,Other,1,71,4,Female,65,3,2,Human Resources,1,Divorced,12210,341880,2,Y,No,16,4,1,80,2,15,6,3,7,2,1,4
27,Yes,Non-Travel,1060,Software,18,4,Human Resources,1,72,2,Female,175,1,3,Laboratory Technician,3,Single,40453,364077,1,Y,Yes,45,1,4,80,2,30,6,1,2,1,2,1
29,Yes,Travel_Rarely,922,Sales,15,5,Life Sciences,1,73,1,Male,37,2,1,Sales Representative,4,Single,9472,161024,6,Y,No,23,2,3,80,1,40,3,2,20,8,8,6
46,Yes,Travel_Rarely,1335,Support,27,4,Marketing,1,74,3,Male,142,2,1,Sales Representative,1,Married,17944,125608,0,Y,Yes,13,3,1,80,3,5,2,3,1,1,1,1
57,Yes,Travel_Rarely,828,Hardware,46,1,Human Resources,1,75,2,Female,142,1,1,Research Scientist,1,Married,18522,148176,7,Y,Yes,14,1,1,80,3,27,4,2,8,5,4,4
18,No,Non-Travel,314,Software,39,4,Technical Degree,1,76,3,Female,70,4,4,Laboratory Technician,3,Divorced,39184,470208,5,Y,Yes,23,3,2,80,1,36,2,4,29,7,13,27
47,Yes,Travel_Frequently,430,Research & Development,34,1,Other,1,77,1,Female,67,2,2,Developer,2,Married,32599,325990,7,Y,No,21,4,1,80,4,21,3,2,4,1,2,1
22,No,Non-Travel,497,Software,50,1,Other,1,78,3,Male,166,3,3,Research Scientist,4,Single,47785,334495,3,Y,No,32,1,1,80,1,24,1,3,19,6,7,7
33,No,Travel_Frequently,482,Research & Development,9,4,Technical Degree,1,79,4,Female,89,4,4,Sales Representative,1,Divorced,50464,1211136,5,Y,Yes,36,2,1,80,1,24,5,4,14,14,13,12
19,Yes,Travel_Frequently,464,Hardware,22,4,Technical Degree,1,80,2,Female,193,4,4,Developer,4,Single,14031,364806,1,Y,No,18,2,4,80,4,24,6,2,7,5,1,4
52,Yes,Travel_Frequently,192,Hardware,10,1,Other,1,81,3,Female,66,4,1,Developer,2,Single,19147,248911,2,Y,Yes,23,4,1,80,1,16,2,4,12,6,5,1
41,No,Travel_Frequently,879,Sales,23,2,Marketing,1,82,1,Female,49,1,5,Manager,1,Divorced,34178,649382,2,Y,No,27,3,4,80,1,10,3,4,10,3,8,5
36,No,Non-Travel,511,Research & Development,40,5,Other,1,83,3,Female,135,3,2,Human Resources,2,Divorced,1893,3786,4,Y,No,22,3,2,80,1,22,3,2,18,17,6,6
33,Yes,Travel_Frequently,394,Human Resources,2,1,Marketing,1,84,2,Female,157,2,2,Sales Executive,4,Married,46339,1019458,7,Y,Yes,6,3,2,80,2,14,3,2,10,9,3,9
54,Yes,Travel_Rarely,731,Research & Development,29,4,Life Sciences,1,85,3,Female,189,4,4,Developer,2,Divorced,32237,838162,1,Y,No,29,3,4,80,4,28,2,4,20,20,12,7
24,No,Non-Travel,1011,Sales,18,4,Human Resources,1,86,3,Female,168,2,2,Sales Representative,2,Married,42673,1152171,8,Y,No,43,3,1,80,4,35,1,4,23,21,5,5
39,No,Non-Travel,124,Research & Development,4,5,Medical,1,87,2,Female,50,4,2,Research Director,4,Single,27653,829590,0,Y,Yes,1,1,4,80,4,21,5,3,9,3,8,9
23,No,Non-Travel,795,Research & Development,44,4,Marketing,1,88,4,Female,37,2,1,Sales Representative,3,Divorced,20041,541107,2,Y,Yes,22,3,4,80,4,12,2,2,1,1,1,1
21,Yes,Travel_Frequently,1207,Human Resources,41,5,Technical Degree,1,89,2,Male,89,4,4,Human Resources,4,Divorced,48708,925452,2,Y,No,0,3,4,80,4,35,5,4,12,9,7,11
25,Yes,Travel_Frequently,1220,Research & Development,33,5,Medical,1,90,3,Male,174,1,3,Research Director,2,Divorced,23829,333606,6,Y,Yes,15,3,4,80,2,10,2,1,1,1,1,1
36,Yes,Travel_Frequently,442,Software,28,5,Human Resources,1,91,2,Female,179,1,5,Sales Executive,3,Single,2166,17328,7,Y,Yes,39,1,3,80,3,34,6,3,28,24,2,25
18,Yes,Travel_Frequently,727,Support,41,3,Other,1,92,1,Male,191,1,1,Sales Executive,2,Divorced,2125,21250,6,Y,Yes,30,1,2,80,1,9,1,1,9,3,8,1
37,Yes,Travel_Rarely,1498,Support,25,4,Other,1,93,3,Female,60,2,3,Manager,2,Divorced,48966,930354,8,Y,Yes,36,4,2,80,3,6,6,2,3,3,2,2
51,Yes,Travel_Frequently,1069,Software,22,4,Life Sciences,1,94,4,Female,43,1,5,Research Scientist,1,Married,49932,599184,1,Y,Yes,35,1,2,80,3,16,3,4,6,2,4,4
23,No,Travel_Frequently,1146,Human Resources,31,1,Life Sciences,1,95,3,Male,127,2,2,Developer,3,Married,40530,243180,1,Y,No,47,2,1,80,2,2,3,4,1,1,1,1
25,Yes,Travel_Frequently,140,Research & Development,20,5,Marketing,1,96,3,Female,107,1,1,Human Resources,1,Single,35606,356060,3,Y,Yes,2,3,3,80,4,1,1,4,1,1,1,1
51,No,Travel_Rarely,430,Software,23,4,Other,1,97,1,Male,163,3,1,Research Scientist,1,Married,19322,231864,5,Y,No,17,1,1,80,2,38,6,2,11,11,11,6
60,No,Travel_Rarely,1348,Sales,32,3,Technical Degree,1,98,1,Male,132,3,4,Research Director,1,Divorced,14216,241672,2,Y,Yes,42,3,4,80,4,39,5,1,22,22,11,15
24,Yes,Travel_Rarely,286,Human Resources,3,3,Technical Degree,1,99,2,Male,49,2,2,Sales Representative,3,Married,32109,545853,0,Y,Yes,0,1,4,80,2,2,6,3,1,1,1,1
34,No,Travel_Rarely,1336,Support,14,1,Other,1,100,2,Female,193,2,3,Healthcare Representative,3,Divorced,44994,584922,8,Y,Yes,11,2,3,80,4,9,4,3,8,4,6,8
58,Yes,Travel_Frequently,1352,Sales,29,1,Other,1,101,4,Female,90,4,3,Manager,3,Divorced,16843,67372,3,Y,Yes,2,3,2,80,2,35,6,3,35,14,12,28
55,No,Non-Travel,811,Sales,7,4,Technical Degree,1,102,3,Male,87,1,2,Manager,3,Married,42582,1064550,2,Y,No,21,1,3,80,1,7,3,4,4,3,3,1
48,Yes,Non-Travel,1431,Support,10,3,Life Sciences,1,103,3,Male,99,1,1,Research Scientist,2,Single,36629,36629,2,Y,No,25,3,2,80,4,24,2,3,16,12,16,3
29,Yes,Travel_Rarely,984,Support,47,5,Marketing,1,104,3,Female,195,1,3,Sales Representative,4,Divorced,4258,4258,2,Y,No,36,4,4,80,1,34,3,2,21,12,19,5
39,Yes,Travel_Rarely,1264,Software,49,4,Marketing,1,105,4,Female,88,1,1,Sales Representative,4,Married,46688,326816,0,Y,No,47,3,2,80,1,22,4,2,21,11,9,17
23,No,Travel_Rarely,274,Sales,3,3,Other,1,106,4,Female,191,2,2,Healthcare Representative,1,Divorced,17815,374115,3,Y,Yes,16,4,2,80,3,20,2,1,6,1,1,6
47,No,Non-Travel,169,Human Resources,3,3,Technical Degree,1,107,4,Male,100,2,2,Sales Executive,1,Divorced,42771,513252,5,Y,Yes,41,1,2,80,3,37,6,3,12,6,11,5
60,No,Travel_Frequently,691,Research & Development,29,4,Life Sciences,1,108,1,Female,49,2,5,Research Director,1,Single,17303,484484,3,Y,Yes,30,4,1,80,3,23,4,3,23,13,18,6
36,No,Travel_Frequently,1298,Software,15,2,Other,1,109,3,Female,50,2,2,Sales Representative,3,Married,1957,48925,2,Y,No,30,2,2,80,3,3,3,3,3,1,3,2
49,Yes,Non-Travel,1448,Software,13,1,Life Sciences,1,110,2,Male,179,4,1,Manufacturing Director,4,Married,16303,489090,5,Y,Yes,2,2,1,80,3,7,6,2,5,3,3,3
28,Yes,Travel_Rarely,369,Hardware,45,2,Other,1,111,3,Male,108,4,2,Laboratory Technician,4,Divorced,39266,706788,7,Y,No,23,4,1,80,4,27,1,1,26,4,11,12
26,No,Travel_Rarely,1109,Research & Development,14,4,Medical,1,112,4,Female,88,2,1,Manager,1,Married,10932,142116,3,Y,Yes,3,3,3,80,1,4,6,2,3,2,3,3
28,Yes,Non-Travel,743,Sales,17,2,Human Resources,1,113,4,Male,183,1,1,Sales Representative,4,Single,16034,288612,8,Y,No,42,2,3,80,1,20,6,1,17,5,4,6
60,No,Travel_Rarely,533,Human Resources,10,4,Human Resources,1,114,4,Male,163,4,4,Sales Executive,4,Single,7258,217740,7,Y,Yes,22,4,1,80,3,22,6,4,21,14,21,10
32,Yes,Travel_Rarely,1376,Hardware,44,5,Medical,1,115,1,Male,158,4,2,Healthcare Representative,3,Single,48485,630305,7,Y,No,20,4,2,80,2,40,4,4,10,8,1,8
58,Yes,Non-Travel,610,Research & Development,21,5,Human Resources,1,116,1,Female,105,4,1,Research Director,1,Married,40318,161272,5,Y,Yes,10,3,4,80,2,27,5,4,11,6,9,11
25,Yes,Non-Travel,1226,Software,46,3,Marketing,1,117,2,Female,185,1,1,Sales Representative,1,Married,27428,740556,7,Y,Yes,42,4,2,80,2,24,2,4,8,4,2,1
46,No,Non-Travel,360,Sales,48,4,Medical,1,118,4,Male,43,4,3,Sales Representative,1,Divorced,14430,331890,7,Y,Yes,38,3,3,80,2,33,1,2,9,2,8,6
49,No,Travel_Rarely,965,Research & Development,2,1,Medical,1,119,4,Male,64,4,1,Sales Representative,1,Married,22537,676110,0,Y,No,42,4,2,80,4,7,5,4,6,4,3,2
25,Yes,Travel_Frequently,1294,Research & Development,20,2,Human Resources,1,120,4,Male,159,2,4,Human Resources,3,Divorced,6972,188244,7,Y,Yes,11,2,4,80,2,1,3,3,1,1,1,1
55,No,Non-Travel,1437,Sales,1,4,Other,1,121,3,Female,169,2,2,Sales Representative,1,Single,7122,35610,6,Y,No,15,2,1,80,2,39,3,4,37,31,20,37
43,No,Travel_Rarely,481,Support,25,1,Other,1,122,3,Female,173,3,3,Manufacturing Director,1,Single,40332,645312,2,Y,No,41,1,2,80,2,3,4,4,3,2,1,2
25,No,Travel_Rarely,1449,Hardware,34,1,Marketing,1,123,2,Female,111,1,5,Sales Representative,1,Married,1861,55830,3,Y,Yes,2,1,3,80,3,3,2,3,2,2,1,2
32,No,Non-Travel,1359,Sales,25,1,Human Resources,1,124,1,Female,60,2,5,Sales Representative,3,Divorced,39210,1137090,2,Y,Yes,38,4,3,80,4,17,3,3,9,4,1,5
20,Yes,Travel_Rarely,610,Support,5,3,Other,1,125,4,Female,99,3,5,Manager,1,Married,48408,677712,0,Y,Yes,6,4,4,80,2,14,1,4,4,2,3,2
33,No,Travel_Rarely,205,Software,14,5,Medical,1,126,1,Female,183,4,3,Laboratory Technician,3,Married,2954,62034,7,Y,No,24,4,4,80,2,19,2,3,18,18,10,15
49,Yes,Non-Travel,727,Sales,31,3,Medical,1,127,3,Female,74,3,2,Laboratory Technician,1,Married,36320,762720,7,Y,Yes,24,2,3,80,1,6,6,3,2,1,1,2
26,No,Non-Travel,413,Support,4,3,Other,1,128,2,Male,93,3,3,Sales Executive,2,Married,35126,386386,2,Y,Yes,24,1,3,80,4,5,6,3,5,4,4,4
46,Yes,Non-Travel,951,Sales,33,2,Technical Degree,1,129,3,Male,113,4,4,Manager,1,Divorced,19243,269402,0,Y,No,7,2,3,80,2,4,4,2,2,1,1,1
28,No,Travel_Frequently,596,Human Resources,1,1,Life Sciences,1,130,1,Female,61,1,1,Laboratory Technician,1,Divorced,34982,734622,6,Y,No,25,1,1,80,1,30,4,2,29,24,23,9
42,No,Travel_Frequently,491,Software,7,1,Other,1,131,2,Male,174,4,1,Manufacturing Director,2,Divorced,18794,375880,8,Y,Yes,22,1,1,80,4,26,5,4,18,6,16,5
59,Yes,Non-Travel,947,Research & Development,1,5,Other,1,132,4,Male,74,3,5,Sales Representative,3,Divorced,18056,379176,1,Y,No,46,2,4,80,1,34,4,2,31,28,3,14
22,Yes,Non-Travel,610,Support,12,3,Human Resources,1,133,2,Female,43,4,5,Manufacturing Director,3,Divorced,27080,297880,0,Y,No,9,2,1,80,4,40,3,4,14,1,6,9
39,Yes,Travel_Rarely,1208,Support,36,5,Other,1,134,1,Male,93,4,5,Research Director,4,Divorced,45522,637308,0,Y,No,17,4,3,80,1,38,4,4,10,6,3,6
51,No,Non-Travel,777,Support,41,3,Life Sciences,1,135,3,Male,183,1,5,Manager,4,Single,31275,156375,3,Y,No,22,4,1,80,1,2,2,1,1,1,1,1
45,No,Travel_Rarely,340,Human Resources,18,4,Medical,1,136,3,Male,162,1,1,Manufacturing Director,2,Married,4549,113725,4,Y,Yes,33,4,2,80,3,30,5,3,2,1,2,1
51,No,Non-Travel,1022,Support,21,3,Life Sciences,1,137,1,Male,169,2,1,Sales Representative,1,Divorced,46220,600860,0,Y,No,18,1,4,80,4,13,3,4,9,6,4,3
55,No,Non-Travel,1377,Support,49,3,Other,1,138,3,Male,149,1,3,Manufacturing Director,1,Divorced,44310,1063440,8,Y,Yes,26,1,2,80,3,16,6,4,4,3,3,3
44,No,Travel_Frequently,467,Human Resources,43,2,Life Sciences,1,139,4,Female,116,4,4,Sales Representative,1,Married,3459,65721,3,Y,Yes,18,2,3,80,3,24,2,4,5,3,2,3
44,No,Non-Travel,1435,Sales,12,3,Human Resources,1,140,2,Female,171,4,2,Manufacturing Director,2,Divorced,34838,383218,6,Y,Yes,30,3,2,80,3,19,4,4,15,14,9,12
59,Yes,Non-Travel,569,Support,8,5,Technical Degree,1,141,2,Female,140,3,3,Sales Executive,3,Single,7656,99528,6,Y,No,31,2,3,80,3,9,6,4,2,1,2,2
28,No,Non-Travel,465,Sales,30,1,Human Resources,1,142,4,Male,48,4,3,Sales Executive,4,Single,28438,312818,1,Y,Yes,5,1,2,80,1,40,2,1,22,4,6,7
